Ref,Val,Package,PosX,PosY,Rot,Side
"D3","BAS70-04","SOT-23",172.133120,-161.745060,180.000000,top
"D4","USBLED","LTST-S220",61.270000,-139.694000,270.000000,top
"D5","RXLED","LTST-S220",61.270000,-144.266000,270.000000,top
"D6","TXLED","LTST-S220",61.270000,-148.838000,270.000000,top
"D7","VCCLED","LTST-S220",61.000000,-117.900000,270.000000,top
"D8","1V8LED","LTST-S220",61.270000,-130.550000,270.000000,top
"D10","SMP1330","SMP1330-085LF",69.547600,-157.150200,270.000000,top
"D11","SMP1330","SMP1330-085LF",73.510000,-163.551000,270.000000,top
"D12","SMP1330","SMP1330-085LF",72.367000,-160.122000,90.000000,top
"FB1","FILTER","GSG-0805",171.808000,-120.345600,180.000000,top
"FB2","FILTER","GSG-0805",83.921600,-122.529600,180.000000,top
"FB3","FILTER","GSG-0805",172.112800,-127.838600,180.000000,top
"J2","RF-SHIELD-FRAME","GSG-SHIELD-BMI-S-230",93.000000,-152.000000,0.000000,top
"J3","RF-SHIELD-COVER","GSG-NULL-MODULE",105.960000,-172.820000,0.000000,top
"J10","GND_CLIP","GSG-TEST-POINT-S1751-46R",114.000000,-129.500000,270.000000,top
"L1","DNP","GSG-0402",95.160400,-162.335600,0.000000,top
"L2","10uH","GSG-0603",98.691000,-159.795600,270.000000,top
"L3","10uH","GSG-0603",98.691000,-156.747600,90.000000,top
"L4","DNP","GSG-0402",97.421000,-158.271600,270.000000,top
"L5","10uH","GSG-0603",74.195800,-153.238600,270.000000,top
"L6","DNP","GSG-0402",107.505500,-150.025100,0.000000,top
"L7","6.2nH","GSG-0402",107.505500,-146.977100,0.000000,top
"L8","DNP","GSG-0402",110.553500,-150.025100,0.000000,top
"L9","DNP","GSG-0402",110.553500,-146.977100,0.000000,top
"L10","4u7","GSG-NRG4026",165.212000,-115.761200,270.000000,top
"L11","4u7","GSG-NRG4026",165.212000,-108.141200,270.000000,top
"L12","10uH","GSG-0603",81.307800,-159.283800,180.000000,top
"L13","0.56uH","GSG-0603",69.369800,-161.773000,90.000000,top
"L14","3.3uH","GSG-0603",69.344400,-164.871800,90.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",116.232800,-125.273200,0.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",171.000000,-102.000000,0.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",85.803600,-167.234000,0.000000,top
"P6","GPO4","GSG-TESTPOINT-50MIL",97.155000,-160.070800,0.000000,top
"P7","GPO2","GSG-TESTPOINT-50MIL",88.722200,-161.163000,0.000000,top
"P13","GPO1","GSG-TESTPOINT-50MIL",87.762200,-159.175800,0.000000,top
"P14","XCVR_CLKOUT","GSG-TESTPOINT-50MIL",114.991000,-143.707200,90.000000,top
"P15","INTR","GSG-TESTPOINT-50MIL",130.175000,-169.240200,90.000000,top
"P17","GPO6","GSG-TESTPOINT-50MIL",87.279600,-155.696000,0.000000,top
"P18","OEB","GSG-TESTPOINT-50MIL",133.350000,-165.100000,180.000000,top
"P19","GPO3","GSG-TESTPOINT-50MIL",96.855400,-161.665000,0.000000,top
"P21","REF_IN","GSG-TESTPOINT-50MIL",87.330400,-157.448600,0.000000,top
"P23","DBGEN","GSG-TESTPOINT-50MIL",155.732600,-123.260200,315.000000,top
"P24","TRST","GSG-TESTPOINT-50MIL",155.727400,-125.196600,315.000000,top
"P27","MIXER_SDATA","GSG-TESTPOINT-50MIL",94.290000,-148.304600,0.000000,top
"P31","MIXER_SCLK","GSG-TESTPOINT-50MIL",96.474400,-153.486200,0.000000,top
"P32","MIXER_ENX","GSG-TESTPOINT-50MIL",99.720400,-151.130000,0.000000,top
"P33","MIXER_RESETX","GSG-TESTPOINT-50MIL",99.852600,-153.511600,0.000000,top
"P34","MIX_BYPASS","GSG-TESTPOINT-50MIL",109.730400,-164.084400,0.000000,top
"P35","!MIX_BYPASS","GSG-TESTPOINT-50MIL",114.124600,-166.751400,0.000000,top
"P37","SCL","GSG-TESTPOINT-50MIL",133.710800,-155.746800,0.000000,top
"P38","SDA","GSG-TESTPOINT-50MIL",134.015600,-150.336600,0.000000,top
"P39","SSP1_SCK","GSG-TESTPOINT-50MIL",98.328600,-106.318400,0.000000,top
"P40","SSP1_MOSI","GSG-TESTPOINT-50MIL",136.454000,-128.264000,0.000000,top
"P41","SSP1_MISO","GSG-TESTPOINT-50MIL",141.534000,-128.518000,180.000000,top
"P43","RX","GSG-TESTPOINT-50MIL",102.926000,-161.995200,0.000000,top
"P44","HP","GSG-TESTPOINT-50MIL",83.314400,-143.967600,0.000000,top
"P45","LP","GSG-TESTPOINT-50MIL",74.653000,-138.836800,0.000000,top
"P46","TX_MIX_BP","GSG-TESTPOINT-50MIL",80.396200,-149.295200,0.000000,top
"P47","RX_MIX_BP","GSG-TESTPOINT-50MIL",73.335000,-141.167200,0.000000,top
"P48","TX_AMP","GSG-TESTPOINT-50MIL",81.485600,-152.527400,0.000000,top
"P49","RX_AMP","GSG-TESTPOINT-50MIL",75.262600,-155.550000,0.000000,top
"P50","AMP_BYPASS","GSG-TESTPOINT-50MIL",144.023200,-154.349800,0.000000,top
"P51","!TX_AMP_PWR","GSG-TESTPOINT-50MIL",80.063200,-166.745000,0.000000,top
"P52","!RX_AMP_PWR","GSG-TESTPOINT-50MIL",71.983600,-146.710400,0.000000,top
"P53","CS_XCVR","GSG-TESTPOINT-50MIL",132.009000,-135.528400,0.000000,top
"P54","CS_AD","GSG-TESTPOINT-50MIL",95.636200,-108.833000,0.000000,top
"P55","TXENABLE","GSG-TESTPOINT-50MIL",103.307000,-145.688400,0.000000,top
"P56","RXENABLE","GSG-TESTPOINT-50MIL",104.551600,-146.983800,0.000000,top
"P57","XTAL2","GSG-TESTPOINT-50MIL",120.045600,-143.935800,0.000000,top
"P58","GCK1","GSG-TESTPOINT-50MIL",111.333400,-123.463400,0.000000,top
"P59","GCK2","GSG-TESTPOINT-50MIL",128.554600,-152.673400,0.000000,top
"P60","SGPIO_CLK","GSG-TESTPOINT-50MIL",131.551800,-156.737400,0.000000,top
"P61","DA0","GSG-TESTPOINT-50MIL",111.968400,-119.577200,0.000000,top
"P62","DA7","GSG-TESTPOINT-50MIL",113.893600,-111.455200,0.000000,top
"P63","DD0","GSG-TESTPOINT-50MIL",113.563400,-109.474000,0.000000,top
"P64","DD9","GSG-TESTPOINT-50MIL",103.936800,-105.283000,0.000000,top
"P65","DA4","GSG-TESTPOINT-50MIL",111.485800,-114.294000,0.000000,top
"P66","DD5","GSG-TESTPOINT-50MIL",119.436000,-107.461400,0.000000,top
"P67","RSSI","GSG-TESTPOINT-50MIL",166.146600,-138.195400,0.000000,top
"P68","SPIFI_CS","GSG-TESTPOINT-50MIL",158.171000,-151.784400,0.000000,top
"P69","VREGMODE","GSG-TESTPOINT-50MIL",158.348800,-120.440800,0.000000,top
"P70","EN_1V8","GSG-TESTPOINT-50MIL",67.035800,-129.838800,0.000000,top
"P71","ID","GSG-TESTPOINT-50MIL",167.162600,-129.076800,0.000000,top
"P72","GP_CLKIN","GSG-TESTPOINT-50MIL",162.641400,-129.407000,0.000000,top
"P73","P1_2","GSG-TESTPOINT-50MIL",139.781400,-122.218800,0.000000,top
"P74","P1_1","GSG-TESTPOINT-50MIL",142.138400,-123.088400,0.000000,top
"P75","GP_CLKIN","GSG-TESTPOINT-50MIL",147.249000,-115.487800,0.000000,top
"P76","GP_CLKIN","GSG-TESTPOINT-50MIL",142.397600,-120.821800,0.000000,top
"P77","GP_CLKIN","GSG-TESTPOINT-50MIL",142.194400,-114.675000,0.000000,top
"P78","GP_CLKIN","GSG-TESTPOINT-50MIL",133.710800,-126.562200,0.000000,top
"P79","GP_CLKIN","GSG-TESTPOINT-50MIL",135.082400,-133.420200,0.000000,top
"P81","SPIFI_SIO2","GSG-TESTPOINT-50MIL",167.035600,-158.032800,0.000000,top
"P82","SPIFI_SIO3","GSG-TESTPOINT-50MIL",154.259400,-158.286800,0.000000,top
"P83","GND","GSG-TESTPOINT-50MIL",112.600600,-159.969600,0.000000,top
"P84","GND","GSG-TESTPOINT-50MIL",102.773600,-166.999000,0.000000,top
